timestamp,tag_id,x_pos,y_pos,heading,direction,energy,speed,total_distance
0351.0,6,50.1735,7.49273,-2.74995,2.78075,1098.31,1.92885,1073.9
0351.1,6,50.2072,7.40587,-2.82072,2.76818,1098.5,1.84129,1073.99
0351.1,6,50.2404,7.32365,-2.9401,2.75471,1098.64,1.74992,1074.08
0351.2,6,50.273,7.2463,-3.08793,2.73872,1098.72,1.65446,1074.17
0351.2,6,50.305,7.174,3.07649,2.7203,1098.8,1.55669,1074.25
0351.3,6,50.3364,7.10694,2.97662,2.69696,1099.06,1.45589,1074.32
0351.3,6,50.3673,7.04526,2.88528,2.66944,1099.2,1.35475,1074.39
0351.4,6,50.3977,6.98892,2.83137,2.63869,1099.35,1.25528,1074.45
0351.4,6,50.428,6.9384,2.79138,2.58924,1099.55,1.15249,1074.51
0351.5,6,50.458,6.89347,2.77654,2.53964,1099.69,1.05687,1074.56
0351.5,6,50.4876,6.85394,2.76985,2.48263,1099.72,0.966165,1074.61
0351.6,6,50.5171,6.81973,2.73649,2.41189,1099.74,0.882365,1074.66
0351.6,6,50.5465,6.7907,2.68337,2.32802,1099.78,0.808556,1074.7
0351.7,6,50.5759,6.76659,2.63355,2.23261,1099.82,0.74565,1074.74
0351.7,6,50.6054,6.74715,2.5954,2.12463,1099.84,0.695739,1074.77
0351.8,6,50.6352,6.73203,2.59918,2.01119,1099.86,0.661913,1074.81
0351.8,6,50.6654,6.72077,2.62602,1.89964,1099.89,0.640393,1074.84
0351.9,6,50.6961,6.71299,2.67188,1.79327,1099.92,0.631563,1074.87
0351.9,6,50.7274,6.7082,2.74109,1.70017,1099.97,0.634114,1074.9
0352.0,6,50.7594,6.70597,2.83364,1.62269,1100.02,0.6454,1074.94
0352.0,6,50.7922,6.70573,2.93585,1.56452,1100.05,0.65965,1074.97
0352.1,6,50.8258,6.70705,3.04712,1.52283,1100.07,0.677812,1075
0352.1,6,50.8603,6.70925,-3.11654,1.5031,1100.07,0.69648,1075.04
0352.2,6,50.8958,6.71184,-2.98967,1.49681,1100.09,0.71607,1075.07
0352.2,6,50.9324,6.71444,-2.86863,1.50181,1100.12,0.73738,1075.11
0352.3,6,50.97,6.71662,-2.77352,1.51683,1100.16,0.75855,1075.15
0352.3,6,51.0087,6.7181,-2.70148,1.53861,1100.19,0.779976,1075.19
0352.4,6,51.0486,6.71858,-2.62591,1.56543,1100.21,0.802929,1075.22
0352.4,6,51.0895,6.7179,-2.55184,1.59473,1100.23,0.824821,1075.27
0352.5,6,51.1316,6.71591,-2.4965,1.6257,1100.24,0.848446,1075.31
0352.5,6,51.1747,6.71254,-2.45668,1.65638,1100.25,0.87019,1075.35
0352.6,6,51.2189,6.70775,-2.42412,1.68592,1100.28,0.895515,1075.4
0352.6,6,51.2641,6.70166,-2.39228,1.71043,1100.31,0.918054,1075.44
0352.7,6,51.3103,6.69446,-2.35969,1.73046,1100.34,0.940459,1075.49
0352.7,6,51.3575,6.68621,-2.33842,1.74853,1100.37,0.962426,1075.54
0352.8,6,51.4053,6.67707,-2.33822,1.76155,1100.39,0.979529,1075.58
0352.8,6,51.4541,6.66754,-2.36544,1.76456,1100.39,0.997674,1075.63
0352.9,6,51.5037,6.65785,-2.40853,1.76333,1100.41,1.01314,1075.68
0352.9,6,51.554,6.64831,-2.45441,1.7559,1100.44,1.02691,1075.74
0353.0,6,51.605,6.63927,-2.49604,1.74266,1100.48,1.0401,1075.79
0353.0,6,51.6568,6.63096,-2.52527,1.72534,1100.52,1.05135,1075.84
0353.1,6,51.7092,6.62366,-2.53785,1.70338,1100.55,1.06018,1075.89
0353.1,6,51.7622,6.61763,-2.53968,1.67753,1100.58,1.06978,1075.95
0353.2,6,51.8158,6.61297,-2.54474,1.65033,1100.6,1.07916,1076
0353.2,6,51.87,6.60988,-2.551,1.62022,1100.61,1.08882,1076.05
0353.3,6,51.9248,6.60841,-2.55416,1.59037,1100.62,1.09945,1076.11
0353.3,6,51.9802,6.60848,-2.55181,1.56254,1100.63,1.1095,1076.16
0353.4,6,52.036,6.61012,-2.52206,1.53456,1100.66,1.1192,1076.22
0353.4,6,52.0922,6.61327,-2.47206,1.50861,1100.71,1.12889,1076.28
0353.5,6,52.1488,6.61781,-2.43239,1.48504,1100.76,1.13837,1076.33
0353.5,6,52.2057,6.62362,-2.41056,1.46379,1100.81,1.14639,1076.39
0353.6,6,52.2629,6.63059,-2.39731,1.44477,1100.85,1.1534,1076.45
0353.6,6,52.3202,6.63861,-2.38544,1.42797,1100.86,1.15988,1076.51
0353.7,6,52.3776,6.64754,-2.36861,1.41281,1100.87,1.16301,1076.56
0353.7,6,52.435,6.65733,-2.33649,1.39829,1100.88,1.16459,1076.62
0353.8,6,52.4923,6.66795,-2.29201,1.38382,1100.91,1.16471,1076.68
0353.8,6,52.5493,6.6794,-2.25656,1.36875,1100.94,1.16366,1076.74
0353.9,6,52.6061,6.69176,-2.24416,1.35258,1100.96,1.16049,1076.8
0353.9,6,52.6624,6.70496,-2.26955,1.33607,1100.97,1.15644,1076.86
0354.0,6,52.7182,6.71926,-2.32332,1.31426,1100.99,1.15126,1076.91
0354.0,6,52.7736,6.73489,-2.37087,1.28907,1101.01,1.14976,1076.97
0354.1,6,52.8284,6.75208,-2.40204,1.2589,1101.03,1.14807,1077.03
0354.1,6,52.8825,6.77102,-2.41798,1.22566,1101.07,1.14721,1077.09
0354.2,6,52.936,6.79198,-2.42104,1.18818,1101.11,1.15055,1077.14
0354.2,6,52.9889,6.81507,-2.41494,1.14896,1101.15,1.15553,1077.2
0354.3,6,53.041,6.84056,-2.40599,1.10515,1101.2,1.16345,1077.26
0354.3,6,53.0925,6.86861,-2.39868,1.06023,1101.24,1.17457,1077.32
0354.4,6,53.1432,6.89929,-2.38333,1.01583,1101.29,1.18994,1077.38
0354.4,6,53.1932,6.93264,-2.3357,0.971576,1101.31,1.20681,1077.44
0354.5,6,53.2425,6.96872,-2.25603,0.928389,1101.33,1.22714,1077.5
0354.5,6,53.2911,7.00745,-2.19049,0.887602,1101.35,1.24737,1077.56
0354.6,6,53.3389,7.04868,-2.1465,0.850461,1101.39,1.26848,1077.62
0354.6,6,53.3859,7.09225,-2.0956,0.81511,1101.42,1.28708,1077.69
0354.7,6,53.4322,7.13796,-2.01998,0.783889,1101.43,1.30492,1077.75
0354.7,6,53.4776,7.18557,-1.92479,0.754356,1101.46,1.31884,1077.82
0354.8,6,53.5221,7.23477,-1.81911,0.728797,1101.51,1.3289,1077.88
0354.8,6,53.5656,7.28528,-1.70629,0.70505,1101.56,1.33405,1077.95
0354.9,6,53.608,7.33691,-1.59206,0.682704,1101.57,1.33773,1078.02
0354.9,6,53.6494,7.38941,-1.49734,0.662264,1101.63,1.33604,1078.08
0355.0,6,53.6895,7.44251,-1.4326,0.642698,1101.78,1.32996,1078.15
0355.0,6,53.7284,7.49617,-1.3956,0.621787,1101.92,1.32368,1078.22
0355.1,6,53.7659,7.55029,-1.37211,0.600488,1101.94,1.31431,1078.28
0355.1,6,53.8019,7.60483,-1.2961,0.578356,1102.11,1.30523,1078.35
0355.2,6,53.8364,7.65979,-1.18185,0.555264,1102.33,1.29615,1078.41
0355.2,6,53.8695,7.71527,-1.0653,0.530934,1102.48,1.2901,1078.48
0355.3,6,53.901,7.77137,-0.95742,0.504503,1102.54,1.28542,1078.54
0355.3,6,53.9309,7.82825,-0.865757,0.476706,1102.65,1.28494,1078.61
0355.4,6,53.9592,7.88606,-0.788405,0.447924,1102.82,1.28843,1078.67
0355.4,6,53.9859,7.94499,-0.730973,0.417836,1102.88,1.29656,1078.74
0355.5,6,54.011,8.00537,-0.698084,0.38748,1102.93,1.31243,1078.8
0355.5,6,54.0346,8.06729,-0.667093,0.35666,1103,1.33032,1078.87
0355.6,6,54.0568,8.13098,-0.625024,0.327412,1103.04,1.3551,1078.93
0355.6,6,54.0776,8.19663,-0.576564,0.299147,1103.08,1.38554,1079
0355.7,6,54.0971,8.26459,-0.52322,0.273897,1103.1,1.42329,1079.07
0355.7,6,54.1155,8.33479,-0.455567,0.25002,1103.12,1.46098,1079.15
0355.8,6,54.1327,8.40733,-0.377993,0.228716,1103.13,1.50146,1079.22
0355.8,6,54.1491,8.48216,-0.30331,0.210712,1103.13,1.54225,1079.3
0355.9,6,54.1647,8.55921,-0.243851,0.195831,1103.16,1.58249,1079.38
0355.9,6,54.1797,8.6386,-0.213296,0.18469,1103.18,1.6269,1079.46
0356.0,6,54.1945,8.72021,-0.194897,0.177086,1103.18,1.66913,1079.54
0356.0,6,54.2091,8.80379,-0.182566,0.172164,1103.21,1.70656,1079.62
0356.1,6,54.2239,8.8894,-0.192897,0.170725,1103.23,1.74774,1079.71
0356.1,6,54.2391,8.977,-0.235029,0.172999,1103.25,1.78793,1079.8
0356.2,6,54.255,9.06641,-0.303087,0.177207,1103.31,1.82554,1079.89
0356.2,6,54.2719,9.15755,-0.391694,0.185325,1103.37,1.86319,1079.98
0356.3,6,54.29,9.25028,-0.468692,0.196052,1103.39,1.89875,1080.08
0356.3,6,54.3098,9.34448,-0.514356,0.210239,1103.43,1.93391,1080.17
0356.4,6,54.3313,9.44007,-0.522531,0.226093,1103.46,1.96851,1080.27
0356.4,6,54.355,9.53691,-0.500175,0.244119,1103.47,2.0025,1080.37
0356.5,6,54.3809,9.63496,-0.464927,0.263864,1103.48,2.03714,1080.47
0356.5,6,54.4094,9.73415,-0.437154,0.28458,1103.49,2.07233,1080.58
0356.6,6,54.4405,9.83428,-0.410838,0.306297,1103.51,2.10464,1080.68
0356.6,6,54.4743,9.93521,-0.374367,0.328746,1103.54,2.13671,1080.79
0356.7,6,54.5109,10.0369,-0.311197,0.350814,1103.56,2.16941,1080.9
0356.7,6,54.5503,10.1391,-0.244417,0.373116,1103.56,2.19891,1081.01
0356.8,6,54.5923,10.2418,-0.188688,0.394757,1103.57,2.22504,1081.12
0356.8,6,54.6371,10.3445,-0.158488,0.416012,1103.58,2.24776,1081.23
0356.9,6,54.6846,10.4473,-0.162289,0.437931,1103.62,2.26831,1081.34
0356.9,6,54.7346,10.5497,-0.186121,0.459918,1103.68,2.28259,1081.46
0357.0,6,54.7869,10.6515,-0.209737,0.479945,1103.72,2.29148,1081.57
0357.0,6,54.8414,10.7525,-0.247357,0.499586,1103.75,2.29426,1081.69
